2020-10-29 13:57:43 [INFO] DESKTOP-KT0A557 - [127.0.0.1 GET / 304 28ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36]
2020-10-29 13:57:43 [INFO] DESKTOP-KT0A557 - [127.0.0.1 GET /css/login.css 304 2ms][http://localhost:30009/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36]
2020-10-29 13:57:43 [INFO] DESKTOP-KT0A557 - [127.0.0.1 GET /css/animate.css 304 2ms][http://localhost:30009/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36]
2020-10-29 13:57:43 [INFO] DESKTOP-KT0A557 - [127.0.0.1 GET /fonts/icomoon/icomoon.css 304 4ms][http://localhost:30009/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36]
2020-10-29 13:57:43 [INFO] DESKTOP-KT0A557 - [127.0.0.1 GET /js/jquery.js 304 1ms][http://localhost:30009/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36]
2020-10-29 13:57:43 [INFO] DESKTOP-KT0A557 - [127.0.0.1 GET /js/jquery.md5.js 304 2ms][http://localhost:30009/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36]
2020-10-29 13:57:43 [INFO] DESKTOP-KT0A557 - [127.0.0.1 GET /logo.png 304 2ms][http://localhost:30009/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36]
2020-10-29 13:57:43 [INFO] DESKTOP-KT0A557 - [127.0.0.1 GET /fonts/icomoon/icomoon.ttf?xgck0o 304 2ms][http://localhost:30009/fonts/icomoon/icomoon.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36]
2020-10-29 13:57:43 [INFO] DESKTOP-KT0A557 - [127.0.0.1 GET /favicon.ico 200 2ms][http://localhost:30009/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36]
2020-10-29 13:57:46 [INFO] DESKTOP-KT0A557 - [127.0.0.1 POST /login.do 302 26ms][http://localhost:30009/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36]
2020-10-29 13:57:46 [INFO] DESKTOP-KT0A557 - [127.0.0.1 GET /dynamics.html 304 23ms][http://localhost:30009/ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36]
